Country Name,Area - (Sq. Km.) 2010,Population (Millions) - 2010,Population (Millions) - 2011,Population (Millions) - 2012,Population (Millions) - 2013,GDP Billions (US$) - 2010,GDP Billions (US$) - 2011,GDP Billions (US$) - 2012,GDP Billions (US$) - 2013,Domestic Product Per Capita Income (US$) - 2010,Domestic Product Per Capita Income (US$) - 2011,Domestic Product Per Capita Income (US$) - 2012,Domestic Product Per Capita Income (US$) - 2013,Purchasing Power in Billions ( Current International Dollar) - 2010,Purchasing Power in Billions ( Current International Dollar) - 2011,Purchasing Power in Billions ( Current International Dollar) - 2012,Purchasing Power in Billions ( Current International Dollar) - 2013
Argentina,2766890.00,40.12,40.57,41.03,41.49,367.57,444.61,474.95,498.70,9162.30,10959.08,11576.21,12019.18,644.35,716.45,743.12,776.28
Australia,7686850.00,22.18,22.49,22.77,23.05,1247.11,1490.52,1541.80,1589.12,56219.82,66288.70,67722.59,68939.33,880.09,920.75,970.76,1015.94
Brazil,8511965.00,194.95,196.66,198.36,199.88,2142.93,2492.91,2395.97,2456.66,10992.38,12676.55,12078.83,12290.64,2186.54,2294.18,2355.59,2466.57
Canada,9976140.00,34.08,34.44,34.83,35.21,1616.02,1781.08,1819.08,1843.75,47424.50,51716.26,52231.86,52364.36,1370.64,1435.78,1488.31,1534.94
China,9596960.00,1340.91,1347.35,1354.04,1360.76,5930.39,7321.99,8227.04,9020.31,4422.66,5434.36,6075.92,6628.86,10128.40,11305.77,12405.67,13623.26
France,547030.00,62.77,63.09,63.41,63.70,2570.59,2778.09,2608.70,2739.27,40955.56,44034.38,41140.71,42999.97,2131.48,2213.78,2254.07,2289.92
Germany,357021.00,81.76,81.78,81.92,81.75,3312.19,3607.36,3400.58,3597.97,40512.53,44110.99,41512.75,44010.37,2957.38,3113.93,3197.07,3269.56
India,3287590.00,1190.52,1206.92,1223.17,1239.26,1614.83,1838.17,1824.83,1972.84,1356.41,1523.03,1491.89,1591.95,4021.77,4425.64,4684.37,5031.68
Indonesia,1919440.00,237.64,241.03,244.47,247.95,709.54,846.16,878.20,946.39,2985.77,3510.59,3592.29,3816.80,1034.65,1125.29,1216.74,1314.66
Italy,301230.00,60.34,60.63,60.82,61.00,2059.19,2196.33,2014.08,2076.01,34126.21,36227.33,33115.03,34034.39,1799.17,1844.39,1832.92,1835.66
Japan,377835.00,128.05,127.90,127.61,127.34,5495.39,5897.02,5963.97,5149.90,42916.74,46108.00,46735.72,40441.75,4389.48,4457.56,4627.89,4778.52
Mexico,1972550.00,112.32,113.74,114.87,116.02,1034.15,1158.30,1177.12,1274.97,9207.36,10184.24,10247.18,10989.10,1566.31,1662.36,1758.90,1848.42
Russia,17075200.00,142.90,142.41,141.92,141.44,1525.35,1899.06,2021.96,2213.57,10674.27,13335.01,14246.76,15650.36,2241.70,2387.93,2513.30,2640.74
Saudi Arabia,1960582.00,27.56,28.37,28.99,26.93,526.81,669.51,727.31,745.62,19112.99,23599.11,25084.61,25162.54,619.83,656.23,694.01,735.82
South Africa,1219912.00,49.99,50.59,51.20,51.81,363.20,402.25,384.32,375.99,7265.27,7951.14,7506.58,7256.98,528.04,557.94,582.39,608.80
Republic of Korea,98480.00,49.41,49.78,50.01,50.24,1014.89,1116.25,1155.87,1258.59,20540.18,22424.06,23112.93,25050.68,1468.33,1554.12,1613.92,1687.14
Turkey,780580.00,73.00,73.95,74.89,75.81,731.29,774.34,794.47,851.82,10017.30,10471.07,10609.18,11236.06,970.50,1075.47,1123.38,1181.01
United Kingdom,244820.00,62.26,62.74,63.24,63.76,2267.48,2431.53,2440.51,2422.92,36418.42,38758.58,38588.81,38001.69,2223.25,2291.43,2336.30,2391.04
USA,9629091.00,309.73,311.94,314.18,316.85,14498.93,15075.68,15684.75,16237.75,46811.06,48328.25,49922.11,51248.21,14498.93,15075.68,15684.75,16237.75
European Union,4324782.00,501.65,502.75,503.82,504.89,16367.10,17686.68,16673.33,17266.94,32626.53,35179.87,33093.82,35199.41,15212.09,15770.15,15993.42,16213.64
World,510072000.00,6863.77,6940.71,7017.54,7095.22,63990.73,70782.36,72216.37,73454.49,9322.97,10198.14,10290.84,10352.67,75090.34,79345.68,83193.42,86698.37
